Order Id,Order Date,City,State,Region,Category,Sub Category,Product Id,cost price,List Price,Quantity,Discount Percent,Profit,Revenue
1,2023-03-01,Henderson,Kentucky,South,Furniture,Bookcases,FUR-BO-10001798,240.0,260.0,2,2.0,20.0,40.0
2,2023-08-15,Henderson,Kentucky,South,Furniture,Chairs,FUR-CH-10000454,600.0,730.0,3,3.0,130.0,390.0
3,2023-01-10,Los Angeles,California,West,Office Supplies,Labels,OFF-LA-10000240,10.0,10.0,2,5.0,0.0,0.0
4,2022-06-18,Fort Lauderdale,Florida,South,Furniture,Tables,FUR-TA-10000577,780.0,960.0,5,2.0,180.0,900.0
5,2022-07-13,Fort Lauderdale,Florida,South,Office Supplies,Storage,OFF-ST-10000760,20.0,20.0,2,5.0,0.0,0.0
6,2022-03-13,Los Angeles,California,West,Furniture,Furnishings,FUR-FU-10001487,50.0,50.0,7,3.0,0.0,0.0
7,2022-12-28,Los Angeles,California,West,Office Supplies,Art,OFF-AR-10002833,10.0,10.0,4,3.0,0.0,0.0
8,2022-01-25,Los Angeles,California,West,Technology,Phones,TEC-PH-10002275,860.0,910.0,6,5.0,50.0,300.0
9,2023-03-23,Los Angeles,California,West,Office Supplies,Binders,OFF-BI-10003910,20.0,20.0,3,2.0,0.0,0.0
10,2023-05-16,Los Angeles,California,West,Office Supplies,Appliances,OFF-AP-10002892,90.0,110.0,5,3.0,20.0,100.0
11,2023-03-31,Los Angeles,California,West,Furniture,Tables,FUR-TA-10001539,1470.0,1710.0,9,3.0,240.0,2160.0
12,2023-12-25,Los Angeles,California,West,Technology,Phones,TEC-PH-10002033,750.0,910.0,4,3.0,160.0,640.0
13,2022-02-11,Concord,North Carolina,South,Office Supplies,Paper,OFF-PA-10002365,20.0,20.0,3,3.0,0.0,0.0
14,2023-07-18,Seattle,Washington,West,Office Supplies,Binders,OFF-BI-10003656,360.0,410.0,3,2.0,50.0,150.0
15,2023-11-09,Fort Worth,Texas,Central,Office Supplies,Appliances,OFF-AP-10002311,60.0,70.0,5,5.0,10.0,50.0
16,2022-06-18,Fort Worth,Texas,Central,Office Supplies,Binders,OFF-BI-10000756,0.0,0.0,3,5.0,0.0,0.0
17,2022-02-04,Madison,Wisconsin,Central,Office Supplies,Storage,OFF-ST-10004186,610.0,670.0,6,3.0,60.0,360.0
18,2023-08-04,West Jordan,Utah,West,Office Supplies,Storage,OFF-ST-10000107,60.0,60.0,2,4.0,0.0,0.0
19,2022-01-23,San Francisco,California,West,Office Supplies,Art,OFF-AR-10003056,10.0,10.0,2,4.0,0.0,0.0
20,2022-01-11,San Francisco,California,West,Technology,Phones,TEC-PH-10001949,170.0,210.0,3,3.0,40.0,120.0
21,2022-10-05,San Francisco,California,West,Office Supplies,Binders,OFF-BI-10002215,20.0,20.0,4,2.0,0.0,0.0
22,2023-07-16,Fremont,Nebraska,Central,Office Supplies,Art,OFF-AR-10000246,20.0,20.0,7,4.0,0.0,0.0
23,2023-05-06,Fremont,Nebraska,Central,Office Supplies,Appliances,OFF-AP-10001492,50.0,60.0,7,3.0,10.0,70.0
24,2023-05-21,Philadelphia,Pennsylvania,East,Furniture,Chairs,FUR-CH-10002774,60.0,70.0,2,4.0,10.0,20.0
25,2023-02-24,Orem,Utah,West,Furniture,Tables,FUR-TA-10000577,900.0,1040.0,3,5.0,140.0,420.0
26,2022-06-20,Los Angeles,California,West,Office Supplies,Binders,OFF-BI-10001634,10.0,10.0,2,5.0,0.0,0.0
27,2022-02-08,Los Angeles,California,West,Technology,Accessories,TEC-AC-10003027,80.0,90.0,3,3.0,10.0,30.0
28,2023-12-11,Philadelphia,Pennsylvania,East,Furniture,Bookcases,FUR-BO-10004834,2740.0,3080.0,7,3.0,340.0,2380.0
29,2022-08-21,Philadelphia,Pennsylvania,East,Office Supplies,Binders,OFF-BI-10000474,10.0,10.0,2,5.0,0.0,0.0
30,2022-08-14,Philadelphia,Pennsylvania,East,Furniture,Furnishings,FUR-FU-10004848,100.0,120.0,3,4.0,20.0,60.0
31,2022-11-20,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,OFF-EN-10001509,0.0,0.0,2,5.0,0.0,0.0
32,2023-01-19,Philadelphia,Pennsylvania,East,Office Supplies,Art,OFF-AR-10004042,70.0,90.0,6,4.0,20.0,120.0
33,2023-01-30,Philadelphia,Pennsylvania,East,Office Supplies,Binders,OFF-BI-10001525,10.0,10.0,6,5.0,0.0,0.0
34,2022-06-03,Philadelphia,Pennsylvania,East,Office Supplies,Art,OFF-AR-10001683,20.0,20.0,2,4.0,0.0,0.0
35,2022-09-28,Houston,Texas,Central,Office Supplies,Paper,OFF-PA-10000249,30.0,30.0,3,3.0,0.0,0.0
36,2022-10-30,Richardson,Texas,Central,Technology,Phones,TEC-PH-10004977,1020.0,1100.0,7,5.0,80.0,560.0
37,2023-07-27,Richardson,Texas,Central,Furniture,Furnishings,FUR-FU-10003664,180.0,190.0,5,4.0,10.0,50.0
38,2023-03-07,Houston,Texas,Central,Office Supplies,Envelopes,OFF-EN-10002986,90.0,110.0,9,2.0,20.0,180.0
39,2023-08-18,Houston,Texas,Central,Furniture,Bookcases,FUR-BO-10002545,460.0,530.0,3,2.0,70.0,210.0
40,2022-01-20,Houston,Texas,Central,Furniture,Chairs,FUR-CH-10004218,200.0,210.0,3,2.0,10.0,30.0
41,2023-06-29,Houston,Texas,Central,Technology,Phones,TEC-PH-10000486,350.0,370.0,4,5.0,20.0,80.0
42,2022-06-28,Naperville,Illinois,Central,Technology,Phones,TEC-PH-10004093,140.0,150.0,4,3.0,10.0,40.0
43,2023-02-09,Los Angeles,California,West,Office Supplies,Storage,OFF-ST-10003479,70.0,80.0,2,5.0,10.0,20.0
44,2023-09-18,Melbourne,Florida,South,Office Supplies,Storage,OFF-ST-10003282,90.0,100.0,2,4.0,10.0,20.0
45,2022-11-11,Eagan,Minnesota,Central,Technology,Accessories,TEC-AC-10000171,40.0,50.0,2,2.0,10.0,20.0
46,2022-05-27,Eagan,Minnesota,Central,Office Supplies,Binders,OFF-BI-10003291,20.0,20.0,2,5.0,0.0,0.0
47,2023-02-03,Westland,Michigan,Central,Office Supplies,Storage,OFF-ST-10001713,180.0,210.0,4,4.0,30.0,120.0
